Message Number;Time [ms];ID;DLC;Data Bytes;CANopen;Node;Index;Subindex;Interpretation
84;158260,000;0x0589;8;[0x4b 0x01 0x20 0x01 0x28 0x00 0x00 0x00];SDO_T;9;0x2001;1;server: upload response = [0x28 0x00] --> [(\x00]
85;158270,000;0x0603;8;[0x40 0x01 0x20 0x03 0x00 0x00 0x00 0x00];SDO_R;3;0x2001;3;client: initiate upload request
86;158270,000;0x0583;8;[0x4b 0x01 0x20 0x03 0xe2 0xff 0x00 0x00];SDO_T;3;0x2001;3;server: upload response = [0xe2 0xff] --> [\xe2\xff]
87;158320,000;0x0709;1;;ERR_CTRL;9;-;-;Node-Guarding Request (RTR)
88;158320,000;0x0709;1;[0x05];ERR_CTRL;9;-;-;Heartbeat: Operational (1000.0 ms)
89;158400,000;0x0609;8;[0x40 0x01 0x20 0x02 0x00 0x00 0x00 0x00];SDO_R;9;0x2001;2;client: initiate upload request
90;158400,000;0x0589;8;[0x4b 0x01 0x20 0x02 0xe2 0xff 0x00 0x00];SDO_T;9;0x2001;2;server: upload response = [0xe2 0xff] --> [\xe2\xff]
91;158410,000;0x0603;8;[0x40 0x01 0x20 0x04 0x00 0x00 0x00 0x00];SDO_R;3;0x2001;4;client: initiate upload request
92;158410,000;0x0583;8;[0x4b 0x01 0x20 0x04 0xd8 0xff 0x00 0x00];SDO_T;3;0x2001;4;server: upload response = [0xd8 0xff] --> [\xd8\xff]
93;158460,000;0x0289;8;[0xc0 0x01 0xff 0x03 0x8b 0x00 0x23 0x00];PDO2_T;9;-;-;Transmit PDO2
94;158460,000;0x0389;8;[0x42 0x02 0x56 0x00 0x24 0x00 0x24 0x00];PDO3_T;9;-;-;Transmit PDO3
95;158470,000;0x0701;1;[0x05];ERR_CTRL;1;-;-;Heartbeat: Operational (2490.0 ms)
96;158540,000;0x0609;8;[0x40 0x01 0x20 0x03 0x00 0x00 0x00 0x00];SDO_R;9;0x2001;3;client: initiate upload request
97;158550,000;0x0589;8;[0x4b 0x01 0x20 0x03 0xe2 0xff 0x00 0x00];SDO_T;9;0x2001;3;server: upload response = [0xe2 0xff] --> [\xe2\xff]
98;158560,000;0x0603;8;[0x40 0x01 0x20 0x05 0x00 0x00 0x00 0x00];SDO_R;3;0x2001;5;client: initiate upload request
99;158560,000;0x0583;8;[0x4b 0x01 0x20 0x05 0xce 0xff 0x00 0x00];SDO_T;3;0x2001;5;server: upload response = [0xce 0xff] --> [\xce\xff]
100;158690,000;0x0609;8;[0x40 0x01 0x20 0x04 0x00 0x00 0x00 0x00];SDO_R;9;0x2001;4;client: initiate upload request
101;158690,000;0x0589;8;[0x4b 0x01 0x20 0x04 0x00 0x00 0x00 0x00];SDO_T;9;0x2001;4;server: upload response = [0x00 0x00] --> [\x00\x00]
102;158690,000;0x0703;1;[0x05];ERR_CTRL;3;-;-;Heartbeat: Operational (2500.0 ms)
103;158690,000;0x0183;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO1_T;3;-;-;Transmit PDO1
104;158690,000;0x0283;8;[0x09 0x32 0x09 0x32 0x00 0x00 0x00 0x00];PDO2_T;3;-;-;Transmit PDO2
105;158690,000;0x0383;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO3_T;3;-;-;Transmit PDO3
106;158690,000;0x0483;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO4_T;3;-;-;Transmit PDO4
107;158700,000;0x0603;8;[0x40 0x01 0x20 0x06 0x00 0x00 0x00 0x00];SDO_R;3;0x2001;6;client: initiate upload request
108;158700,000;0x0583;8;[0x4b 0x01 0x20 0x06 0x00 0x00 0x00 0x00];SDO_T;3;0x2001;6;server: upload response = [0x00 0x00] --> [\x00\x00]
109;158830,000;0x0609;8;[0x40 0x01 0x20 0x05 0x00 0x00 0x00 0x00];SDO_R;9;0x2001;5;client: initiate upload request
110;158830,000;0x0589;8;[0x4b 0x01 0x20 0x05 0x00 0x00 0x00 0x00];SDO_T;9;0x2001;5;server: upload response = [0x00 0x00] --> [\x00\x00]
111;158970,000;0x0609;8;[0x40 0x01 0x20 0x06 0x00 0x00 0x00 0x00];SDO_R;9;0x2001;6;client: initiate upload request
112;158980,000;0x0589;8;[0x4b 0x01 0x20 0x06 0x00 0x00 0x00 0x00];SDO_T;9;0x2001;6;server: upload response = [0x00 0x00] --> [\x00\x00]
113;159320,000;0x0709;1;;ERR_CTRL;9;-;-;Node-Guarding Request (RTR)
114;159320,000;0x0709;1;[0x85];ERR_CTRL;9;-;-;Heartbeat: Operational (1000.0 ms)
115;159460,000;0x0603;8;[0x40 0x00 0x20 0x01 0x00 0x00 0x00 0x00];SDO_R;3;0x2000;1;client: initiate upload request
116;159460,000;0x0583;8;[0x4b 0x00 0x20 0x01 0xe9 0x03 0x00 0x00];SDO_T;3;0x2000;1;server: upload response = [0xe9 0x03] --> [\xe9\x03]
117;159600,000;0x0603;8;[0x40 0x00 0x20 0x02 0x00 0x00 0x00 0x00];SDO_R;3;0x2000;2;client: initiate upload request
118;159600,000;0x0583;8;[0x4b 0x00 0x20 0x02 0xea 0x03 0x00 0x00];SDO_T;3;0x2000;2;server: upload response = [0xea 0x03] --> [\xea\x03]
119;159690,000;0x0183;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO1_T;3;-;-;Transmit PDO1
120;159690,000;0x0283;8;[0x09 0x32 0x09 0x32 0x00 0x00 0x00 0x00];PDO2_T;3;-;-;Transmit PDO2
121;159690,000;0x0383;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO3_T;3;-;-;Transmit PDO3
122;159690,000;0x0483;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO4_T;3;-;-;Transmit PDO4
123;159730,000;0x0609;8;[0x40 0x00 0x20 0x01 0x00 0x00 0x00 0x00];SDO_R;9;0x2000;1;client: initiate upload request
124;159730,000;0x0589;8;[0x4b 0x00 0x20 0x01 0xec 0x03 0x00 0x00];SDO_T;9;0x2000;1;server: upload response = [0xec 0x03] --> [\xec\x03]
125;159740,000;0x0603;8;[0x40 0x00 0x20 0x03 0x00 0x00 0x00 0x00];SDO_R;3;0x2000;3;client: initiate upload request
126;159740,000;0x0583;8;[0x4b 0x00 0x20 0x03 0xeb 0x03 0x00 0x00];SDO_T;3;0x2000;3;server: upload response = [0xeb 0x03] --> [\xeb\x03]
127;159870,000;0x0609;8;[0x40 0x00 0x20 0x02 0x00 0x00 0x00 0x00];SDO_R;9;0x2000;2;client: initiate upload request
128;159870,000;0x0589;8;[0x4b 0x00 0x20 0x02 0xeb 0x03 0x00 0x00];SDO_T;9;0x2000;2;server: upload response = [0xeb 0x03] --> [\xeb\x03]
129;159890,000;0x0603;8;[0x40 0x00 0x20 0x04 0x00 0x00 0x00 0x00];SDO_R;3;0x2000;4;client: initiate upload request
130;159890,000;0x0583;8;[0x4b 0x00 0x20 0x04 0xec 0x03 0x00 0x00];SDO_T;3;0x2000;4;server: upload response = [0xec 0x03] --> [\xec\x03]
131;160020,000;0x0609;8;[0x40 0x00 0x20 0x03 0x00 0x00 0x00 0x00];SDO_R;9;0x2000;3;client: initiate upload request
132;160020,000;0x0589;8;[0x4b 0x00 0x20 0x03 0xeb 0x03 0x00 0x00];SDO_T;9;0x2000;3;server: upload response = [0xeb 0x03] --> [\xeb\x03]
133;160030,000;0x0603;8;[0x40 0x00 0x20 0x05 0x00 0x00 0x00 0x00];SDO_R;3;0x2000;5;client: initiate upload request
134;160030,000;0x0583;8;[0x4b 0x00 0x20 0x05 0xed 0x03 0x00 0x00];SDO_T;3;0x2000;5;server: upload response = [0xed 0x03] --> [\xed\x03]
135;160160,000;0x0609;8;[0x40 0x00 0x20 0x04 0x00 0x00 0x00 0x00];SDO_R;9;0x2000;4;client: initiate upload request
136;160160,000;0x0589;8;[0x4b 0x00 0x20 0x04 0xe8 0x03 0x00 0x00];SDO_T;9;0x2000;4;server: upload response = [0xe8 0x03] --> [\xe8\x03]
137;160180,000;0x0603;8;[0x40 0x00 0x20 0x06 0x00 0x00 0x00 0x00];SDO_R;3;0x2000;6;client: initiate upload request
138;160180,000;0x0583;8;[0x4b 0x00 0x20 0x06 0xee 0x03 0x00 0x00];SDO_T;3;0x2000;6;server: upload response = [0xee 0x03] --> [\xee\x03]
139;160300,000;0x0609;8;[0x40 0x00 0x20 0x05 0x00 0x00 0x00 0x00];SDO_R;9;0x2000;5;client: initiate upload request
140;160310,000;0x0589;8;[0x4b 0x00 0x20 0x05 0xe8 0x03 0x00 0x00];SDO_T;9;0x2000;5;server: upload response = [0xe8 0x03] --> [\xe8\x03]
141;160320,000;0x0709;1;;ERR_CTRL;9;-;-;Node-Guarding Request (RTR)
142;160320,000;0x0709;1;[0x05];ERR_CTRL;9;-;-;Heartbeat: Operational (1000.0 ms)
143;160450,000;0x0609;8;[0x40 0x00 0x20 0x06 0x00 0x00 0x00 0x00];SDO_R;9;0x2000;6;client: initiate upload request
144;160450,000;0x0589;8;[0x4b 0x00 0x20 0x06 0xe8 0x03 0x00 0x00];SDO_T;9;0x2000;6;server: upload response = [0xe8 0x03] --> [\xe8\x03]
145;160460,000;0x0289;8;[0xbf 0x01 0xff 0x03 0x8b 0x00 0x23 0x00];PDO2_T;9;-;-;Transmit PDO2
146;160470,000;0x0389;8;[0x5c 0x02 0x5a 0x00 0x23 0x00 0x23 0x00];PDO3_T;9;-;-;Transmit PDO3
147;160690,000;0x0183;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO1_T;3;-;-;Transmit PDO1
